Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),attack_severity_factor,Financial Loss (in Million $)_norm,Number of Affected Users_norm,Incident Resolution Time (in Hours)_norm,risk_score,severity_cluster,Severity
France,2023,DDoS,Healthcare,58.37,599797,Nation-state,Unpatched Software,AI-based Detection,35,0.6,0.5816664991456428,0.5998462787139053,0.47887323943661975,0.5683951311597526,3,High
France,2024,DDoS,IT,48.01,922258,Unknown,Social Engineering,Encryption,64,0.6,0.4775354306965524,0.9225619013401575,0.8873239436619719,0.7052475314130626,1,Critical
Australia,2022,Phishing,Banking,64.31,120789,Nation-state,Zero-day,Encryption,36,0.6000000000000001,0.6413709920595035,0.12046004297390642,0.49295774647887325,0.451277959011748,0,Low
Russia,2017,Man-in-the-Middle,Healthcare,13.04,850158,Hacker Group,Unpatched Software,AI-based Detection,67,0.3,0.12604281837370593,0.8504049695209521,0.9295774647887325,0.5214541111635145,2,Medium
India,2015,DDoS,IT,93.14,805278,Insider,Social Engineering,Encryption,56,0.6,0.9311488591818274,0.8054895312401485,0.7746478873239437,0.8290359805095644,1,Critical
UK,2019,Malware,Telecommunications,14.01,578443,Insider,Social Engineering,Firewall,28,0.6,0.1357925419640165,0.5784754171040951,0.3802816901408451,0.3639159799450042,2,Medium
India,2016,DDoS,IT,36.45,261808,Nation-state,Social Engineering,AI-based Detection,6,0.6,0.36134284852749027,0.26159039482151425,0.07042253521126761,0.2970987648997039,0,Low
Brazil,2015,Ransomware,Retail,49.55,920172,Hacker Group,Weak Passwords,Antivirus,43,1.0,0.4930143733038496,0.9204742541865533,0.5915492957746479,0.6916578847324354,2,Medium
France,2023,Ransomware,Education,17.72,261661,Insider,Social Engineering,VPN,11,1.0,0.17308272188159615,0.2614432787469314,0.14084507042253522,0.2758350864612249,0,Low
India,2017,DDoS,Government,76.71,246205,Nation-state,Unpatched Software,Firewall,30,0.6,0.766006633832546,0.24597507433364926,0.4084507042253521,0.5218853166781836,3,High
Japan,2022,Phishing,Telecommunications,20.42,186148,Nation-state,Weak Passwords,Antivirus,32,0.4,0.20022112775153286,0.18587065194438412,0.4366197183098592,0.26317359034590027,0,Low
Brazil,2023,DDoS,Telecommunications,51.84,699007,Hacker Group,Social Engineering,VPN,30,0.6,0.5160317619861293,0.6991346172129811,0.4084507042253521,0.5578432308034165,2,Medium
China,2021,Phishing,Retail,51.06,628562,Insider,Zero-day,AI-based Detection,52,0.6000000000000001,0.5081917780681476,0.6286339922198615,0.7183098591549296,0.5955288807242035,1,Critical
Japan,2022,Malware,Education,53.04,570494,Nation-state,Unpatched Software,VPN,53,0.6,0.5280932757061012,0.5705201403907684,0.7323943661971831,0.5888722256391077,1,Critical
Japan,2022,Ransomware,Banking,26.17,937653,Insider,Unpatched Software,Encryption,24,1.0,0.25801588099306466,0.9379690575864358,0.323943661971831,0.5493858020675229,2,Medium
France,2020,Malware,IT,87.32,599757,Unknown,Social Engineering,Antivirus,9,0.6,0.8726505176399638,0.5998062471289848,0.11267605633802817,0.6115372924622866,3,High
Australia,2015,DDoS,Government,82.7,904805,Hacker Group,Zero-day,Encryption,61,0.8,0.8262136898180723,0.9050951200497193,0.8450704225352113,0.851028096449187,1,Critical
UK,2022,SQL Injection,Education,66.24,678876,Hacker Group,Social Engineering,AI-based Detection,11,0.7,0.6607699266257916,0.6789877213121153,0.14084507042253522,0.5661733011284583,3,High
France,2020,Malware,Telecommunications,18.38,246900,Hacker Group,Zero-day,AI-based Detection,34,0.8,0.1797165544275807,0.246670623121643,0.46478873239436624,0.31884555518639845,0,Low
India,2015,SQL Injection,IT,42.99,85255,Unknown,Unpatched Software,Encryption,61,0.7,0.42707809830133686,0.08489798450977822,0.8450704225352113,0.4353147191805105,0,Low
Japan,2022,Phishing,Banking,98.47,972469,Nation-state,Zero-day,Antivirus,21,0.6000000000000001,0.9847220826213691,0.9728125491012409,0.28169014084507044,0.8020706259479341,3,High
Brazil,2023,Phishing,Healthcare,14.51,113777,Nation-state,Weak Passwords,VPN,27,0.4,0.14081817268067146,0.11344250613734237,0.36619718309859156,0.20359945753318962,0,Low
Brazil,2020,Phishing,Banking,17.75,739540,Hacker Group,Zero-day,Encryption,31,0.6000000000000001,0.17338425972459545,0.7396996230025491,0.4225352112676057,0.435770633044124,2,Medium
China,2020,Man-in-the-Middle,Education,19.81,722788,Nation-state,Zero-day,Firewall,70,0.5,0.1940898582772138,0.7229343952378428,0.971830985915493,0.5388824590653369,2,Medium
Japan,2021,SQL Injection,Retail,82.52,214372,Insider,Unpatched Software,Encryption,12,0.7,0.8244044627600764,0.21411693826429054,0.15492957746478872,0.49498278207627555,3,High
USA,2022,DDoS,Retail,32.53,235314,Insider,Weak Passwords,AI-based Detection,62,0.6,0.3219419037089155,0.23507547454941952,0.8591549295774649,0.431130389763885,0,Low
Brazil,2016,DDoS,Education,96.98,140812,Nation-state,Unpatched Software,VPN,71,0.6,0.9697457030857374,0.14049885359548686,0.9859154929577465,0.6872310359044904,1,Critical
Russia,2015,DDoS,Telecommunications,96.39,238356,Unknown,Zero-day,AI-based Detection,3,0.8,0.9638154588400846,0.2381198765826237,0.02816901408450704,0.5425959493277224,3,High
India,2021,SQL Injection,IT,98.09,826976,Nation-state,Zero-day,VPN,57,0.8999999999999999,0.9809026032767113,0.827204664480275,0.7887323943661972,0.8882689195280065,1,Critical
UK,2019,Man-in-the-Middle,Retail,39.77,757694,Nation-state,Unpatched Software,Encryption,69,0.3,0.3947130364860791,0.757867957818719,0.9577464788732395,0.6067948977146953,1,Critical
USA,2017,DDoS,IT,74.12,403108,Hacker Group,Zero-day,VPN,64,0.8,0.7399738667202735,0.40300196855318854,0.8873239436619719,0.6743549259864603,1,Critical
Australia,2020,DDoS,Banking,92.95,942890,Insider,Weak Passwords,Antivirus,19,0.6,0.9292391195094986,0.9432101928421526,0.25352112676056343,0.7653629310085579,3,High
France,2022,Malware,Healthcare,20.33,794906,Unknown,Weak Passwords,AI-based Detection,36,0.6,0.19931651422253494,0.7951093412702623,0.49295774647887325,0.4768509573658673,2,Medium
Australia,2016,SQL Injection,Government,27.33,481293,Hacker Group,Unpatched Software,Antivirus,65,0.7,0.2696753442557041,0.4812487052284253,0.9014084507042254,0.5025264394116542,2,Medium
India,2016,DDoS,Education,21.01,602692,Hacker Group,Unpatched Software,VPN,29,0.6,0.2061513719971857,0.6027435646725267,0.3943661971830986,0.402156857637252,2,Medium
UK,2018,Man-in-the-Middle,Retail,13.66,455529,Hacker Group,Zero-day,Firewall,40,0.5,0.13227460046235806,0.4554643613811298,0.5492957746478874,0.34940830352885965,0,Low
Japan,2017,Phishing,Telecommunications,75.84,383395,Hacker Group,Zero-day,VPN,31,0.6000000000000001,0.7572620363855664,0.383273402714742,0.4225352112676057,0.5623938776221704,3,High
USA,2023,DDoS,Retail,59.69,113612,Hacker Group,Zero-day,VPN,70,0.8,0.5949341642376118,0.1132773758495453,0.971830985915493,0.546323075633007,1,Critical
Australia,2019,Malware,Government,21.72,984411,Insider,Unpatched Software,Antivirus,17,0.6,0.21328776761483567,0.9847639787792569,0.22535211267605634,0.4858147232149226,2,Medium
UK,2015,Phishing,IT,85.58,17229,Hacker Group,Weak Passwords,AI-based Detection,30,0.4,0.8551613227460046,0.01681826961472602,0.4084507042253521,0.46880015082789017,3,High
France,2018,Phishing,Healthcare,75.11,581303,Insider,Social Engineering,Encryption,51,0.4,0.7499246155392503,0.5813376754259111,0.7042253521126761,0.6552162192660087,1,Critical
India,2019,Man-in-the-Middle,Education,10.8,799474,Nation-state,Zero-day,AI-based Detection,23,0.5,0.10352799276309178,0.7996809482681837,0.3098591549295775,0.3932873125716073,2,Medium
India,2020,DDoS,Banking,86.27,898655,Nation-state,Unpatched Software,AI-based Detection,10,0.6,0.8620966931349885,0.898940263868192,0.1267605633802817,0.6998728690905094,3,High
UK,2021,Malware,Healthcare,67.1,698852,Unknown,Weak Passwords,Antivirus,57,0.6,0.669414011458438,0.6989794948214141,0.7887323943661972,0.6952059319030388,1,Critical
India,2018,DDoS,Healthcare,76.43,304162,Hacker Group,Unpatched Software,Firewall,56,0.6,0.7631922806312194,0.30397783851458804,0.7746478873239437,0.611399841271653,1,Critical
Brazil,2015,Phishing,Banking,43.4,191625,Hacker Group,Social Engineering,VPN,65,0.4,0.43119911548899387,0.19135197670962392,0.9014084507042254,0.4501669293493298,0,Low
Australia,2024,Phishing,Education,93.32,93185,Unknown,Unpatched Software,VPN,14,0.4,0.9329580862398231,0.0928342462202678,0.18309859154929578,0.4776532266718688,3,High
India,2019,Phishing,Healthcare,35.6,40718,Nation-state,Zero-day,VPN,24,0.6000000000000001,0.35279927630917685,0.04032581706966797,0.323943661971831,0.27800618803893734,0,Low
China,2015,Phishing,Government,42.73,310574,Nation-state,Zero-day,Firewall,65,0.6000000000000001,0.42446477032867624,0.31039490157734456,0.9014084507042254,0.503186068745519,1,Critical
India,2024,DDoS,Education,73.37,475719,Nation-state,Social Engineering,Firewall,52,0.6,0.7324354206452911,0.4756703038697533,0.7183098591549296,0.6393372312500283,1,Critical
UK,2018,Malware,Retail,73.18,404060,Unknown,Weak Passwords,Antivirus,32,0.6,0.7305256809729622,0.40395472027429646,0.4366197183098592,0.5607206321334457,3,High
China,2024,Malware,Education,72.35,132726,Hacker Group,Zero-day,Firewall,55,0.8,0.7221831339833149,0.13240646870380732,0.7605633802816901,0.5607078702608063,1,Critical
UK,2016,DDoS,Banking,87.68,336376,Nation-state,Social Engineering,Firewall,11,0.6,0.8762689717559555,0.3362172754303146,0.14084507042253522,0.5395417854159836,3,High
Australia,2022,Malware,Healthcare,67.16,566437,Unknown,Weak Passwords,Encryption,63,0.6,0.6700170871444366,0.5664599368902064,0.8732394366197184,0.6725927032487802,1,Critical
Russia,2017,Man-in-the-Middle,Education,83.43,313631,Nation-state,Weak Passwords,Antivirus,16,0.3,0.8335511106643886,0.313454315454894,0.2112676056338028,0.4997102600289842,3,High
France,2016,DDoS,Banking,28.66,996004,Unknown,Zero-day,VPN,28,0.8,0.2830435219620063,0.9963661328788415,0.3802816901408451,0.568183586676624,2,Medium
China,2021,Phishing,Healthcare,55.04,871600,Insider,Unpatched Software,Firewall,29,0.4,0.5481957985727209,0.8718639006175873,0.3943661971830986,0.5997107290509843,2,Medium
Brazil,2015,DDoS,IT,43.51,940656,Unknown,Weak Passwords,AI-based Detection,41,0.6,0.432304754246658,0.9409744288243425,0.5633802816901409,0.6278902866839942,2,Medium
USA,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,Social Engineering,Firewall,66,1.0,0.20333701879585891,0.29701934826578175,0.9154929577464789,0.45353920354737387,0,Low
UK,2019,Phishing,IT,78.19,28321,Insider,Unpatched Software,Antivirus,63,0.4,0.7808825007538447,0.027919028113181303,0.8732394366197184,0.535376596059436,1,Critical
Brazil,2022,Phishing,Telecommunications,29.02,456783,Nation-state,Zero-day,Encryption,10,0.6000000000000001,0.2866619760779978,0.45671935156838755,0.1267605633802817,0.33703270857777173,0,Low
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25,1.0,0.8750628203839583,0.9333404055800026,0.33802816901408456,0.797632883630401,3,High
Australia,2023,Phishing,Telecommunications,24.65,221512,Nation-state,Zero-day,AI-based Detection,56,0.6000000000000001,0.24273796361443364,0.2212625761726002,0.7746478873239437,0.37840353576234226,0,Low
France,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12,0.4,0.17469092371092573,0.016173761097505932,0.15492957746478872,0.14571441330657983,0,Low
USA,2022,Ransomware,Education,21.01,787752,Nation-state,Weak Passwords,Antivirus,9,1.0,0.2061513719971857,0.7879496923072304,0.11267605633802817,0.44138066775864904,2,Medium
Russia,2022,SQL Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40,0.7,0.6005628706402654,0.6626158038692529,0.5492957746478874,0.6188690443464594,1,Critical
Brazil,2018,Malware,Education,6.63,274509,Hacker Group,Zero-day,Encryption,20,0.8,0.06161423258618958,0.27430142382339673,0.26760563380281693,0.24045724694205828,0,Low
France,2024,Phishing,Government,5.8,508649,Hacker Group,Unpatched Software,Firewall,66,0.4,0.05327168559654237,0.5086263061555567,0.9154929577464789,0.3969951576345798,2,Medium
Brazil,2021,DDoS,IT,70.26,740257,Unknown,Weak Passwords,Encryption,70,0.6,0.7011759975876973,0.7404171891622491,0.971830985915493,0.7569617529668522,1,Critical
Australia,2024,Malware,Healthcare,62.08,969504,Hacker Group,Social Engineering,AI-based Detection,5,0.6,0.6189566790632225,0.9698452078690087,0.056338028169014086,0.6098038396197945,3,High
Germany,2016,Man-in-the-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54,0.3,0.9015981505678964,0.7796851716003927,0.7464788732394366,0.7738405863551638,1,Critical
Japan,2019,Malware,Banking,44.17,605166,Insider,Weak Passwords,Encryption,27,0.6,0.4389385867926425,0.6052195181998598,0.36619718309859156,0.4903807267967333,2,Medium
France,2023,Malware,Government,55.18,274946,Insider,Zero-day,Encryption,66,0.8,0.5496029751733843,0.2747387688886532,0.9154929577464789,0.5653614122852455,1,Critical
Japan,2019,Man-in-the-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36,0.5,0.4102924917077094,0.6451820486363742,0.49295774647887325,0.5062631605697707,2,Medium
UK,2015,DDoS,Telecommunications,32.92,157678,Nation-state,Unpatched Software,Antivirus,68,0.6,0.32586189566790635,0.15737817137721663,0.943661971830986,0.42629060404652475,0,Low
Brazil,2022,DDoS,Retail,15.16,157034,Nation-state,Social Engineering,AI-based Detection,69,0.6,0.14735149261232286,0.15673366285999654,0.9577464788732395,0.357509991677576,0,Low
India,2020,SQL Injection,Education,62.5,550656,Nation-state,Weak Passwords,Encryption,4,0.7,0.6231782088652127,0.5506664758494453,0.04225352112676056,0.49292193052627076,3,High
Australia,2017,SQL Injection,Healthcare,68.91,634048,Hacker Group,Unpatched Software,Firewall,66,0.7,0.6876067946527289,0.6341243240917084,0.9154929577464789,0.7183786066378998,1,Critical
UK,2023,DDoS,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3,0.6,0.811739873354106,0.5475029798511025,0.02816901408450704,0.5545806461138745,3,High
UK,2024,DDoS,Healthcare,58.31,487694,Hacker Group,Weak Passwords,Antivirus,41,0.6,0.5810634234596442,0.48765475960532867,0.5633802816901409,0.5513978536034845,1,Critical
France,2023,Man-in-the-Middle,Retail,88.65,427067,Hacker Group,Unpatched Software,Antivirus,42,0.3,0.8860186953462661,0.42697988713094637,0.5774647887323944,0.6279944020242694,1,Critical
Australia,2023,Malware,Telecommunications,1.51,954902,Hacker Group,Unpatched Software,AI-based Detection,55,0.6,0.010151774047642982,0.9552316777937794,0.7605633802816901,0.502742889013529,2,Medium
UK,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53,1.0,0.48979796964519046,0.12827120598151942,0.7323943661971831,0.4808794228919686,0,Low
Germany,2024,Phishing,Healthcare,84.53,189430,Nation-state,Social Engineering,Firewall,1,0.4,0.8446074982410293,0.18915524348711135,0.0,0.43458957234254514,3,High
France,2021,DDoS,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15,0.6,0.9059201929842196,0.6033790660831396,0.19718309859154928,0.6428184167369397,3,High
UK,2021,DDoS,Education,80.26,276593,Nation-state,Social Engineering,Encryption,36,0.6,0.8016886119207962,0.27638706939775487,0.49295774647887325,0.5621831148834195,3,High
Japan,2023,Malware,Education,22.87,975282,Insider,Unpatched Software,Firewall,49,0.6,0.22484671826314206,0.9756277703107753,0.676056338028169,0.5778382860041231,2,Medium
India,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11,1.0,0.23409387878178714,0.4867700615785856,0.14084507042253522,0.3678375840707976,0,Low
Japan,2021,Ransomware,IT,35.43,969517,Hacker Group,Weak Passwords,Firewall,25,1.0,0.35109056186551413,0.9698582181341079,0.33802816901408456,0.5989993239892549,2,Medium
Australia,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18,0.8,0.7465071866519248,0.1512943712589233,0.23943661971830985,0.47187850998210895,3,High
Japan,2022,SQL Injection,IT,66.66,749545,Unknown,Social Engineering,AI-based Detection,30,0.7,0.6649914564277817,0.7497125231807897,0.4084507042253521,0.64260048037042,3,High
Brazil,2015,Malware,Retail,78.13,71743,Hacker Group,Unpatched Software,VPN,35,0.6,0.7802794250678461,0.07137531512363254,0.47887323943661975,0.4892990124515522,3,High
Germany,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41,0.4,0.10945823700874462,0.970025350001151,0.5633802816901409,0.4874669561418713,2,Medium
Germany,2020,SQL Injection,Education,87.84,842506,Unknown,Weak Passwords,Antivirus,19,0.7,0.877877173585285,0.84274692732566,0.25352112676056343,0.7246791729839247,3,High
Brazil,2023,Man-in-the-Middle,IT,10.18,933883,Nation-state,Social Engineering,Encryption,41,0.3,0.09729621067443965,0.9341960807076785,0.5633802816901409,0.4618533648201075,2,Medium
UK,2019,Malware,Education,4.42,393748,Nation-state,Unpatched Software,AI-based Detection,10,0.6,0.039400944818574736,0.393634577681791,0.1267605633802817,0.21920286390802352,0,Low
Brazil,2020,DDoS,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37,0.6,0.7687204744195397,0.7086841517957669,0.5070422535211268,0.6815018860107713,1,Critical
Japan,2020,DDoS,Healthcare,73.24,136762,Unknown,Zero-day,VPN,41,0.8,0.7311287566589607,0.136445655622286,0.5633802816901409,0.5260612556882982,1,Critical
Russia,2018,Malware,Telecommunications,8.11,737958,Unknown,Social Engineering,VPN,35,0.6,0.07649009950748818,0.7381163738189432,0.47887323943661975,0.40780559983600223,2,Medium
Japan,2020,Man-in-the-Middle,Banking,23.55,108886,Insider,Unpatched Software,Antivirus,51,0.3,0.2316815760377928,0.10854764409118796,0.7042253521126761,0.2960819940650088,0,Low
Australia,2016,Phishing,Banking,92.79,285311,Nation-state,Unpatched Software,VPN,55,0.4,0.927630917680169,0.28511195333117834,0.7605633802816901,0.6486986291277592,1,Critical
USA,2021,Malware,Retail,71.11,961868,Hacker Group,Unpatched Software,Antivirus,57,0.6,0.7097195698060107,0.9622031783076849,0.7887323943661972,0.7902952602879492,1,Critical
Australia,2023,Man-in-the-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29,0.5,0.5713136998693337,0.4716911643286554,0.3943661971830986,0.4989060686829498,3,High
UK,2024,Phishing,Government,81.26,993903,Unknown,Weak Passwords,Firewall,25,0.4,0.811739873354106,0.9942634738808921,0.33802816901408456,0.7305806253087269,3,High
China,2024,Ransomware,Telecommunications,7.32,179156,Nation-state,Social Engineering,AI-based Detection,34,1.0,0.06854960297517339,0.17887313090028034,0.46478873239436624,0.2740395269390267,0,Low
Germany,2022,Man-in-the-Middle,Healthcare,56.27,699129,Nation-state,Unpatched Software,Encryption,25,0.3,0.5605588501356921,0.6992567135469886,0.33802816901408456,0.5316061879211903,3,High
Russia,2021,Malware,IT,83.76,920983,Insider,Social Engineering,Encryption,24,0.6,0.8368680269373808,0.9212858945708164,0.323943661971831,0.7359217115405634,3,High
UK,2023,SQL Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36,0.7,0.8557643984320034,0.87605720913801,0.49295774647887325,0.773714471409979,1,Critical
Russia,2016,Malware,Retail,61.39,415274,Hacker Group,Weak Passwords,Encryption,40,0.6,0.6120213086742387,0.4151775751067593,0.5492957746478874,0.5392209509313007,1,Critical
Russia,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38,1.0,0.41853452608302344,0.222044192868173,0.5211267605633804,0.4382524204063374,0,Low
France,2021,Man-in-the-Middle,Retail,94.4,357092,Unknown,Unpatched Software,VPN,71,0.3,0.9438134485877979,0.3569496332606427,0.9859154929577465,0.7117933680048614,1,Critical
Australia,2021,Malware,Telecommunications,84.68,708291,Hacker Group,Zero-day,AI-based Detection,54,0.8,0.8461151874560259,0.7084259480730296,0.7464788732394366,0.7802696340522066,1,Critical
Russia,2024,Malware,Banking,93.33,517610,Nation-state,Social Engineering,Firewall,35,0.6,0.9330585988541563,0.5175943819673723,0.47887323943661975,0.684276402019198,3,High
Germany,2023,Malware,Government,70.46,368803,Hacker Group,Unpatched Software,VPN,23,0.6,0.7031862498743592,0.3686698805357428,0.3098591549295775,0.513847295096382,3,High
China,2023,Man-in-the-Middle,Healthcare,48.71,421191,Nation-state,Unpatched Software,Firewall,62,0.3,0.4845713136998694,0.4210992473061246,0.8591549295774649,0.5219892855872781,1,Critical
India,2018,Phishing,IT,69.03,282139,Hacker Group,Unpatched Software,Encryption,37,0.4,0.6888129460247262,0.2819374486469825,0.5070422535211268,0.5015148637082106,3,High
China,2018,Malware,IT,49.19,117543,Insider,Social Engineering,Encryption,22,0.6,0.4893959191878581,0.11721147985760766,0.295774647887324,0.35007674120989035,0,Low
France,2016,Phishing,Government,27.2,536925,Unknown,Zero-day,Encryption,62,0.6000000000000001,0.2683686802693738,0.5369246335358598,0.8591549295774649,0.5002558480840005,2,Medium
France,2023,Ransomware,Retail,64.08,238068,Unknown,Unpatched Software,VPN,61,1.0,0.6390592019298422,0.2378316491711961,0.8450704225352113,0.595987260030338,1,Critical
Japan,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32,0.6,0.3815458840084431,0.03942110325046463,0.4366197183098592,0.31176862824048845,0,Low
India,2018,DDoS,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47,0.8,0.8080209066237813,0.268744039046808,0.647887323943662,0.6134090391522875,1,Critical
France,2015,Malware,Education,15.76,424,Nation-state,Unpatched Software,Antivirus,58,0.6,0.1533822494723088,0.0,0.8028169014084507,0.28191628007061365,0,Low
USA,2021,SQL Injection,Telecommunications,82.24,982969,Unknown,Unpatched Software,Encryption,64,0.7,0.8215901095587497,0.9833208401428728,0.8873239436619719,0.871097084598756,1,Critical
Germany,2021,Malware,Government,82.72,219703,Nation-state,Social Engineering,Firewall,33,0.6,0.8264147150467385,0.21945214774457047,0.4507042253521127,0.5465423754124891,3,High
Japan,2016,Man-in-the-Middle,Retail,18.96,530947,Nation-state,Unpatched Software,VPN,12,0.3,0.18554628605890042,0.5309419131694908,0.15492957746478872,0.29448700386736515,0,Low
UK,2017,SQL Injection,IT,53.39,576110,Insider,Unpatched Software,Antivirus,37,0.7,0.5316112172077596,0.5761405749136068,0.5070422535211268,0.5568951100614112,1,Critical
UK,2017,Man-in-the-Middle,Government,48.9,177154,Unknown,Zero-day,Antivirus,68,0.5,0.4864810533721982,0.1768695500750092,0.943661971830986,0.48638568073757926,1,Critical
France,2017,SQL Injection,Healthcare,60.77,212177,Hacker Group,Social Engineering,Encryption,2,0.7,0.6057895265855866,0.21192020504177797,0.014084507042253521,0.37870877355521876,3,High
Germany,2021,DDoS,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55,0.6,0.9120514624585386,0.008369603617254015,0.7605633802816901,0.5794441421249297,1,Critical
USA,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31,0.4,0.41069454216504175,0.29153301955242694,0.4225352112676057,0.37624476498526593,0,Low
Germany,2022,DDoS,IT,78.18,987652,Hacker Group,Social Engineering,VPN,72,0.6,0.7807819881395116,0.9880075379474406,1.0,0.8687150566400368,1,Critical
China,2022,Ransomware,Telecommunications,16.16,236284,Unknown,Social Engineering,Antivirus,38,1.0,0.15740275404563275,0.2360462404837417,0.5211267605633804,0.33800032587605167,0,Low
USA,2020,Man-in-the-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1,0.5,0.15207558548597852,0.2095943699578968,0.0,0.17370854518176043,0,Low
Australia,2020,DDoS,Retail,36.29,755621,Unknown,Zero-day,Antivirus,50,0.8,0.35973464669816063,0.755793320930214,0.6901408450704226,0.5886600239724129,2,Medium
France,2015,SQL Injection,Retail,61.41,694844,Insider,Unpatched Software,Antivirus,43,0.7,0.6122223339029048,0.6949683300123798,0.5915492957746479,0.6416892917198055,1,Critical
France,2018,SQL Injection,Retail,53.72,795831,Nation-state,Unpatched Software,Encryption,61,0.7,0.5349281334807519,0.7960350716715489,0.8450704225352113,0.6917958594008076,1,Critical
Brazil,2020,DDoS,Retail,17.4,342253,Unknown,Weak Passwords,Encryption,22,0.6,0.169866318222937,0.3420989160447594,0.295774647887324,0.28973113168006737,0,Low
USA,2016,Phishing,Retail,75.94,638693,Nation-state,Weak Passwords,AI-based Detection,35,0.4,0.7582671625288975,0.6387729918906018,0.47887323943661975,0.6307134104660636,3,High
USA,2018,Phishing,Banking,55.9,618616,Insider,Zero-day,VPN,51,0.6000000000000001,0.5568398834053674,0.6186801386293787,0.7042253521126761,0.6091850653734958,1,Critical
Brazil,2023,SQL Injection,Retail,56.76,774426,Hacker Group,Social Engineering,AI-based Detection,21,0.7,0.565483968238014,0.7746131697909652,0.28169014084507044,0.5849155664015092,3,High
